Leibniz,1,2,3,4,5,6,Team,Pts,meet
Farrington,15,4,22,4,8,25,10,88,1
Hawai‘i Baptist ,27,25,44,25,24,42,10,197,1
Iolani,40,50,50,48,43,50,10,291,1
Kalani,21,23,24,22,17,25,10,142,1
KS-Kapālama,32,25,44,32,42,50,10,235,1
Maryknoll,5,5,10,11,16,8,0,55,1
McKinley,38,32,29,30,38,50,10,227,1
Mid-Pacific,21,18,32,7,20,38,10,146,1
Mililani,26,27,35,25,35,38,10,196,1
Moanalua,9,13,38,7,22,18,0,107,1
Punahou,43,40,37,28,48,43,10,249,1
Roosevelt,11,11,33,19,32,28,5,139,1
Farrington,9,10,25,11,29,4,10,98,2
Hawai‘i Baptist ,7,26,26,20,33,26,0,138,2
Iolani,50,32,50,50,50,40,10,282,2
Kalani,17,5,16,16,36,11,10,111,2
KS-Kapālama,29,5,35,32,41,20,10,172,2
Maryknoll,8,2,14,7,22,4,0,57,2
McKinley,42,31,50,27,39,23,10,222,2
Mid-Pacific,19,20,19,26,42,10,10,146,2
Mililani,17,18,27,12,44,14,10,142,2
Moanalua,10,4,11,2,27,4,0,58,2
Punahou,40,32,45,21,32,29,10,209,2
Roosevelt,18,7,19,4,38,4,10,100,2
Farrington,0,6,20,16,11,0,0,53,3
Hawai‘i Baptist ,4,17,24,40,37,35,0,157,3
Iolani,42,48,50,50,50,42,10,292,3
Kalani,6,2,22,27,28,7,0,92,3
KS-Kapālama,31,24,44,48,42,21,0,210,3
Maryknoll,6,5,9,13,29,8,0,70,3
McKinley,27,25,50,35,42,25,0,204,3
Mid-Pacific,15,25,27,34,47,23,10,181,3
Mililani,5,17,33,25,35,6,0,121,3
Moanalua,4,2,5,15,10,2,0,38,3
Punahou,23,29,45,47,50,18,0,212,3
Roosevelt,6,21,29,20,44,16,0,136,3
Farrington,13,4,35,0,20,9,10,91,4
Hawai‘i Baptist ,33,22,39,27,42,31,10,204,4
Iolani,48,40,50,40,47,50,10,285,4
Kalani,2,9,40,18,10,26,10,115,4
KS-Kapālama,22,32,42,27,50,45,10,228,4
Maryknoll,7,0,26,10,10,2,5,60,4
McKinley,38,37,40,27,40,30,10,222,4
Mid-Pacific,22,27,35,21,43,30,10,188,4
Mililani,27,16,36,22,45,19,10,175,4
Moanalua,8,11,42,4,21,15,0,101,4
Punahou,31,37,50,28,42,35,10,233,4
Roosevelt,19,9,40,23,14,14,10,129,4
Farrington,6,12,12,0,2,13,0,45,5
Hawai‘i Baptist ,16,30,32,7,10,33,10,138,5
Iolani,35,47,42,41,47,50,10,272,5
Kalani,10,7,30,2,2,4,10,65,5
KS-Kapālama,40,47,37,25,45,38,10,242,5
Maryknoll,3,0,10,0,0,3,0,16,5
McKinley,28,36,39,6,21,31,10,171,5
Mid-Pacific,45,29,31,9,12,14,0,140,5
Mililani,18,22,35,11,29,21,10,146,5
Moanalua,5,9,15,0,0,7,0,36,5
Punahou,36,40,40,18,30,35,10,209,5
Roosevelt,8,36,25,6,11,18,0,104,5
Farrington,7,4,20,0,4,2,0,37,6
Hawai‘i Baptist ,16,6,30,3,23,7,0,85,6
Iolani,43,50,47,36,30,50,0,256,6
Kalani,10,2,18,0,12,5,0,47,6
KS-Kapālama,13,10,32,12,30,5,0,102,6
Maryknoll,6,2,10,0,6,0,0,24,6
McKinley,19,22,39,5,12,25,0,122,6
Mid-Pacific,15,10,27,5,27,9,0,93,6
Mililani,14,12,22,3,19,10,0,80,6
Moanalua,0,2,5,3,8,0,0,18,6
Punahou,16,39,45,13,39,22,0,174,6
Roosevelt,12,24,20,0,19,5,0,80,6
Farrington,0,4,27,9,16,17,0,73,7
Hawai‘i Baptist ,20,16,38,19,8,15,0,116,7
Iolani,45,22,40,44,40,50,10,251,7
Kalani,2,9,38,12,16,25,0,102,7
KS-Kapālama,20,25,48,2,24,19,0,138,7
Maryknoll,7,12,25,2,9,0,0,55,7
McKinley,47,24,29,38,23,17,10,188,7
Mid-Pacific,6,11,28,16,21,24,0,106,7
Mililani,19,19,35,14,19,34,10,150,7
Moanalua,5,6,13,3,2,4,0,33,7
Punahou,22,18,33,29,37,45,10,194,7
Roosevelt,9,13,34,11,28,21,0,116,7
